source,target
5531859562,1749937787
6564109426,6184984212
6562768342,3248438592
1950070827,6184984212
1950070827,6329420338
1950070827,6560020707
1950070827,1825329153
6509017053,3248438592
6509017053,6184984212
6509017053,6329420338
6509017053,6560020707
3955065918,6184984212
3955065918,1769985142
3955065918,1825329153
3955065918,1749937787
6519971038,3248438592
6519971038,1749937787
6537490222,3248438592
2686801013,3248438592
2686801013,6184984212
2686801013,1769985142
2686801013,5661672527
2686801013,1749937787
6541835413,3248438592
6111423071,1749937787
5758264825,3248438592
5758264825,6329420338
5758264825,1825329153
6559862359,6184984212
1707548905,6184984212
1001282732,3248438592
1001282732,6329420338
1001282732,1769985142
1001282732,6314120663
5231440402,3248438592
5231440402,6184984212
5709713084,3248438592
5709713084,6184984212
5729175995,3248438592
5729175995,6184984212
5729175995,6560020707
5729175995,1825329153
5729175995,1749937787
5194353147,6329420338
5194353147,6560020707
2703815565,6184984212
2703815565,6560020707
2703815565,1825329153
2703815565,5661672527
5895062515,3248438592
5895062515,6184984212
5895062515,6329420338
5895062515,6314120663
5190066852,3248438592
5190066852,6184984212
5190066852,6329420338
5190066852,1825329153
5190066852,1749937787
6416147012,3248438592
5627902525,3248438592
5627902525,6560020707
5627902525,1769985142
5627902525,1825329153
6376851843,3248438592
6376851843,6184984212
5620255619,6560020707
5620255619,5661672527
5620255619,6314120663
5525812374,3248438592
5525812374,6184984212
5525812374,6560020707
5525812374,1825329153
6452565030,3248438592
6452565030,5661672527
5655306052,3248438592
5655306052,6184984212
5655306052,6329420338
5655306052,6560020707
5655306052,5661672527
6303241233,3248438592
6303241233,6329420338
6303241233,6560020707
6303241233,5661672527
5129019946,3248438592
5129019946,1825329153
5129019946,6314120663
5129019946,1749937787
2898500917,3248438592
2898500917,5661672527
6297757122,3248438592
6297757122,6184984212
6297757122,5661672527
2515433452,6560020707
6058522337,3248438592
6058522337,6314120663
5603660115,3164750283
5603660115,3248438592
5603660115,6329420338
5603660115,1769985142
5603660115,6314120663
5999727608,6184984212
5999727608,1825329153
5999727608,1749937787
6130608011,2125528764
6130608011,6184984212
6130608011,6560020707
6130608011,5661672527
3324786890,3157780841
3324786890,2712792052
3324786890,3248438592
3324786890,6184984212
3324786890,6329420338
3324786890,6560020707
3324786890,1769985142
3324786890,5661672527
3324786890,6314120663
3324786890,1749937787
6286028832,3248438592
6286028832,6329420338
6286028832,1769985142
6286028832,1825329153
6286028832,1749937787
6559482153,1749937787
3894103148,1749937787
5861324751,1825329153
5861324751,1749937787
5859952576,3248438592
5859952576,1769985142
5859952576,1825329153
5859952576,5661672527
5859952576,1749937787
6517434518,3248438592
6333569566,3248438592
6333569566,6329420338
6333569566,6560020707
6333569566,1769985142
6333569566,1825329153
6333569566,5661672527
6333569566,1749937787
6324308509,3157780841
6324308509,6184984212
6324308509,1769985142
6324308509,1825329153
6324308509,1749937787
6311872263,3248438592
6334785437,3248438592
6334785437,6329420338
6334785437,1825329153
6334785437,5661672527
6472836231,3248438592
5631513023,3248438592
5631513023,1825329153
5631513023,1749937787
6323622041,3248438592
6323622041,1769985142
6323622041,1825329153
6323622041,1749937787
6200740669,3248438592
6200740669,1769985142
6200740669,1825329153
6200740669,1749937787
6367918477,3248438592
6367918477,6184984212
6367918477,6314120663
5737171650,3248438592
5737171650,5661672527
6515243234,3248438592
6537223925,3248438592
6537223925,6314120663
5653249997,3248438592
6051980701,3248438592
6051980701,6329420338
6049569639,3248438592
6049569639,5661672527
5589213462,3248438592
5589213462,6184984212
5589213462,6329420338
5589213462,6560020707
5589213462,5661672527
6012970775,3248438592
6359929554,1825329153
5290853519,3248438592
5290853519,6184984212
5290853519,5661672527
2268388431,3248438592
5700231591,3248438592
5700231591,6184984212
5700231591,6329420338
5700231591,6560020707
5700231591,5661672527
5700231591,6314120663
5985453779,3248438592
5985453779,6329420338
5985453779,6560020707
5985453779,5661672527
5985453779,6314120663
2609579805,6184984212
3151650790,6314120663
5706605837,6314120663
6334994361,1769985142
6478280383,6184984212
6422453576,3248438592
6422453576,6560020707
6422453576,5661672527
6411443668,3248438592
6411443668,1749937787
5694035767,3248438592
5769677450,3248438592
5769677450,6184984212
5769677450,5661672527
6163847559,1749937787
6419756666,3248438592
6426569145,3248438592
6305057056,3248438592
6045902151,3248438592
5157717994,1873716840
5157717994,3248438592
5157717994,6184984212
5157717994,6329420338
5157717994,6560020707
5157717994,1769985142
5157717994,1825329153
5157717994,5661672527
5157717994,6314120663
5157717994,1749937787
6262713760,1769985142
1804452337,3248438592
1804452337,6184984212
1804452337,6560020707
1804452337,5661672527
1804452337,6314120663
6064026245,3248438592
5676227982,3248438592
5676227982,1749937787
6358644292,3248438592
6560841714,3248438592
6560841714,6184984212
6563553343,3248438592
6563553343,6184984212
6563553343,6314120663
6263678564,3248438592
6036411848,3248438592
6036411848,6560020707
6337228679,3248438592
6337228679,6329420338
2764658390,3248438592
2764658390,6184984212
2764658390,6560020707
2764658390,1769985142
2764658390,1825329153
2764658390,1749937787
6469371686,3248438592
6469371686,1825329153
6469371686,1749937787
6538093796,3248438592
6538093796,6560020707
6538093796,1769985142
6538093796,1825329153
6538093796,1749937787
6205697905,1825329153
6205697905,6314120663
6060038434,3248438592
3793170002,6184984212
6564248834,3248438592
5873874764,3248438592
6435659987,3248438592
6435659987,6184984212
6435659987,6329420338
6284990188,3248438592
6284990188,6184984212
6284990188,6560020707
6284990188,5661672527
5359544062,1769985142
5359544062,1825329153
5359544062,1749937787
5587637487,3248438592
6169775624,6184984212
6169775624,6314120663
2952528724,3248438592
2952528724,6184984212
2952528724,6329420338
2952528724,6560020707
5627426717,3248438592
1748378615,6184984212
2418073602,3248438592
2418073602,6184984212
2418073602,6329420338
2418073602,6560020707
2418073602,5661672527
3744536933,6329420338
3744536933,6314120663
1740645180,6184984212
1740645180,5661672527
6495857304,3248438592
6495857304,1749937787
1762937534,3248438592
1762937534,6560020707
5377398234,3248438592
5377398234,1769985142
5377398234,1825329153
5377398234,6314120663
5377398234,5994655372
5377398234,1749937787
6535891585,3248438592
6535891585,6184984212
5585494306,3248438592
5585494306,1769985142
1855467814,6184984212
5545837308,3248438592
5545837308,1769985142
5545837308,1749937787
6535203965,3248438592
6535203965,6184984212
6535203965,6329420338
6535203965,1769985142
6535203965,1825329153
6535203965,5661672527
6535203965,1749937787
3735727631,3248438592
3735727631,6184984212
5724012759,3248438592
5724012759,6184984212
5724012759,1825329153
5724012759,6314120663
5724012759,1749937787
6453201411,3248438592
6453201411,6184984212
6453201411,1769985142
6453201411,1825329153
6453201411,1749937787
5291262407,3248438592
5291262407,6329420338
1991831443,3248438592
1991831443,6184984212
1991831443,6329420338
1991831443,6560020707
1991831443,1769985142
1991831443,1825329153
1991831443,5661672527
1991831443,6314120663
2214268163,5661263549
6536868456,6295016017
6563929721,6295016017
2546760654,5662907384
6412799785,1748587203
5347954215,5354863161
5985521084,6090914072
6013101418,5541597988
5630427865,5541597988
2604976652,6561288213
6013681024,6567275552
6571654562,3153015285
6568652728,5458622128
1804703825,5566403859
6448546090,5566403859
2298366141,1994725857
5893823635,1994725857
6448546090,2712792052
1873716840,6467826328
5541597988,5630427865
5710379470,5072179553
6382354003,3968776309
3346730070,3442576842
6049078794,6203975612
5398387232,2273601434
6561288213,2604976652
6573659226,6516380715
6122498215,3962021920
